,Job Title,Client,Job Description,Location
720,Senior Data Engineer,"Outdoorsy, Inc.","Experience in at least one programming language (e.g. Python, Spark, Scala or Java)","San Francisco, CA 94103"
750,Senior Data Engineer (SF),Ethos,Build realtime data pipelines to ingest structured and unstructured data into data warehouse,"San Francisco, CA 94108"
751,Senior Data Engineer (SF),Ethos,"Build ETL pipelines using Airflow to drive analytics, reporting and machine learning","San Francisco, CA 94108"
756,"Data Engineer, R&D",Pivot Bio,Curate internal protocols and internally generated data while prototyping ETL pipelines.,"Berkeley, CA 94710"
760,"Data Engineer, R&D",Pivot Bio,"Strong working knowledge of SQL best practices including but not limited to schema design, query optimization, and migration management.","Berkeley, CA 94710"
762,Data Scientist,Mindstrong,Create highly scalable and adaptive online/streaming learning algorithms that impact the lives of millions of people daily,"San Francisco, CA"
763,Data Scientist,Mindstrong,Work with a highperformance engineering team to deploy these applications in a highly scalable and distributed infrastructure,"San Francisco, CA"
769,Senior Data Security Engineer,Pearson,Helping others develop data science solutions to automate or simply decision making.,"San Francisco, CA 94111"
774,Senior Data Scientist,Glu Mobile,"Using state of the art big data tools such as Hive, Presto and Redshift, to sift through billions of rows of data to answer challenging business questions.","San Francisco, CA 94105"
775,Senior Data Scientist,Glu Mobile,Using Tableau to build dashboards that allow game teams to selfserve custom data for their titles.,"San Francisco, CA 94105"
776,Big Data Engineer (Senior),NCR,"Any experience with Google Cloud Platform (Pub Sub, Dataflow, BigQuery, BigTable)","Redwood City, CA 94063"
781,Senior Data Engineer,Afresh,"Building fast, reliable, scalable data pipelines that process over billions of historical data points collected from tens of thousands of retail stores across the US which power our machine learning models.","San Francisco, CA"
783,Senior Data Engineer,Afresh,"Expertlevel knowledge of using SQL and data warehouses, data lakes, or databases.","San Francisco, CA"
784,Senior Data Engineer,Afresh,Experience with Apache Spark or other Big Data frameworks; working with cloud infrastructure; data visualization tools; and applied statistics is a big plus.,"San Francisco, CA"
796,Data Management Engineer II,Roche,"Complex data visualization and plotting libraries like echarts, ggplot2, matplotlib",
804,Lead Data Engineer,ThoughtWorks,You will collaborate with Data Scientists in order to design scalable implementations of their models,"San Francisco, CA 94107"
805,Lead Data Engineer,ThoughtWorks,"Leverage various continuous delivery practices to deploy, support and operate data pipelines","San Francisco, CA 94107"
810,Lead Data Engineer,ThoughtWorks,"You have a deep understanding of data modelling and experience with data engineering tools and platforms such as Kafka, Spark, and Hadoop","San Francisco, CA 94107"
812,Lead Data Engineer,ThoughtWorks,"Working with data excites you: you have created Big data architecture, you can build and operate data pipelines, and maintain data storage, all within distributed systems","San Francisco, CA 94107"
825,Senior Data Engineer,Ad Hoc Team,"Expert understanding of data management fundamentals, including high level proficiency in at least one major database system and programming language (Postgres, etc)","San Francisco, CA"
826,Senior Data Engineer,Ad Hoc Team,Experience with business intelligence and data exploration tools (such as Tableau),"San Francisco, CA"
828,Senior Data Engineer,Ad Hoc Team,Familiarity with and a principlesbased understanding of modern development practices and deployment pipelines (Agile and DevOps enabled),"San Francisco, CA"
850,AI  Data Scientist  Smiths Digital Forge,SmithsDigital Forge,"Work with various databases, and other source systems such as SQL or graph databases.","San Francisco, CA"
851,AI  Data Scientist  Smiths Digital Forge,SmithsDigital Forge,(Help to) create data pipelines for more efficient and repeatable data science projects,"San Francisco, CA"
857,AI  Data Scientist  Smiths Digital Forge,SmithsDigital Forge,"Ideally, the candidates are adept in agile methodologies and wellversed in applying DevOps/MLOps methods to the construction of AI/ML and data science pipelines.","San Francisco, CA"
858,AI  Data Scientist  Smiths Digital Forge,SmithsDigital Forge,Candidates need to demonstrate that they were instrumental in launching significant data science projects.,"San Francisco, CA"
878,Senior Data Engineer,Parkside,"Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics.","San Francisco, CA"
880,Senior Data Engineer,Parkside,Keep our data separated and secure across national boundaries through multiple data centers and AWS regions.,"San Francisco, CA"
891,Staff Software Engineer (Kafka)  Messaging Team,Twitter,"We provide infrastructure that enables systems to stream data between one another. Messaging technologies such as EventBus, DistributedLog, Kafka, Kestrel and Deferred RPC are used to decouple systems to improve reliability and simplify software development.","San Francisco, CA 94103"
892,Cloud Engineer,SurveyMonkey,"Architect, build, and operate AWS environments with well established best practices","San Mateo, CA 94403"
893,Cloud Engineer,SurveyMonkey,"Help define our AWS account structure, IAM policies, and AWS account security at scale","San Mateo, CA 94403"
894,Cloud Engineer,SurveyMonkey,Lead in the improvement of the availability and scalability of our AWS infrastructure,"San Mateo, CA 94403"
895,Cloud Engineer,SurveyMonkey,"Demonstrable experience leveraging Configuration Management tooling such as Terraform, and proven strategies for maintaining large infrastructureascode deployments","San Mateo, CA 94403"
896,Cloud Engineer,SurveyMonkey,Linux and/or Windows administration via automated scripting of operations within those OS environments,"San Mateo, CA 94403"
912,Data Analyst (Marketing),Nerdwallet,"Surface insights and present results to business leaders using a variety of tools – Tableau/Looker, Office Suite slides, spreadsheets, etc.","San Francisco, CA"
928,Senior/Principal Data Engineer (Data Insights),Rally Health,Architect and code solutions for largescale ETL pipelines with data processing frameworks,"Chicago, IL"
931,Senior/Principal Data Engineer (Data Insights),Rally Health,Experience working with Python and PySpark for the purposes of data transformations and ETL,"Chicago, IL"
932,Senior/Principal Data Engineer (Data Insights),Rally Health,Experience with backend and distributed systems and experience working with MapReducebased architectures,"Chicago, IL"
933,Senior/Principal Data Engineer (Data Insights),Rally Health,"Understanding of several data extraction and transformation techniques with data sourced in HDFS, MongoDB, and Postgres","Chicago, IL"
935,Lead Data Infrastructure Engineer,Doxel,Ensure that our data pipeline is processing existing scans within SLA while quickly launching new Product features,"Redwood City, CA"
937,Lead Data Infrastructure Engineer,Doxel,Experience building and managing ETL pipelines from inception to production rollout.,"Redwood City, CA"
938,Lead Data Infrastructure Engineer,Doxel,"Experience with workflow management tools. At least one of: Airflow, Oozie, Azkaban, etc.","Redwood City, CA"
940,Lead Data Infrastructure Engineer,Doxel,Experience with SQL and basic database knowledge for modifying queries and tables.,"Redwood City, CA"
941,Cloud Infrastructure Engineer (SF),Sysdig,Enhance services running in Kubernetes to horizontally scale and selfheal in the face of network disruptions,"San Francisco, CA 94105"
942,Cloud Infrastructure Engineer (SF),Sysdig,Build and manage systems across internal and production AWS environments with a focus on configuration as code and platform automation,"San Francisco, CA 94105"
944,Cloud Infrastructure Engineer (SF),Sysdig,Automate the installation of our entire platform deployments across cloud and onprem environments,"San Francisco, CA 94105"
